bin,count,accuracy,macro_f1,error_rate
<0.70,16,0.625,0.25641025641025644,0.375
0.70-0.80,2,0.5,0.3333333333333333,0.5
0.80-0.90,34,0.7647058823529411,0.6977777777777778,0.23529411764705888
0.90-0.95,94,0.7872340425531915,0.6919405320813773,0.21276595744680848
>=0.95,162,0.808641975308642,0.787686254765433,0.191358024691358
