comparison,delta,ci_low,ci_high,samples
P1+P2 -> P1+P3,-0.0012251274828222192,-0.05881089398205985,0.05949239824406238,1000
P3 no filter -> prefilter,0.017140264952210438,-0.00850974141193328,0.041480896936816336,1000
DeepSeek P1 -> P1+P3,0.06789213556075724,-0.0006601063857448741,0.13210881798761642,1000
Llama P1 -> P1+P3,0.15227829901919365,0.07480508331949642,0.23100940996699648,1000
